,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
134,Fruit Thinner,277,Darlings Fruit Ltd,"Ettrick, New Zealand",2022-09-06,Stonefruit (including Cherries),Need Staff Soon,20,2022-10-12,2022-12-17,$21.20,"Accommodation, Free Wifi","The bees have done their work, the frosts have been managed and so now, the baby fruit need room to grow.  That’s where you come in! What can we offer you? *Unbeatable team atmosphere – small family-owned company *Feel appreciated and valued. We put people first *Awesome location – a great base to explore from […]"
135,Copywriter,187,BetPokiesNZ,"124 Symonds Street, Eden Terrace, Auckland 1010, Auckland, New Zealand",2022-09-06,Other,Need Staff Soon,1,2022-09-06,2023-09-28,"$1,500 monthly",Social club / staff events,"BetPokiesNZ is a project to help players choose a good gambling site. We are expanding and now looking for a copywriter in English in the themes of gambling (slots, games, online casino reviews) and betting (sports betting). Along with our headquarters in New Zealand, we have offices in Australia. All in all we have a […]"
136,Seasonal Orchard Assistant,406,Suncrest Orchard,"Cromwell, New Zealand",2022-09-06,Stonefruit (including Cherries),Expressions of Interest,3,2022-11-14,2023-02-01,$23,"Accommodation, Transport, End of season bonuses, Free Wifi",Suncrest Orchard is a key player in the Central Otago cherry industry and we have been exporting premium cherries for over 20 years. We are seeking motivated and enthusiastic individuals to join our team of Seasonal Orchard Assistants for the 2022-23 cherry export season. The positions will start from early November/early December and go through […]
137,Kiwifruit Fertiliser Spreader Driver,232,Oropi Management Services LTD,"Tauranga, New Zealand",2022-09-05,Kiwifruit,Need Staff Now,2,2022-09-06,2022-12-24,27.50 + 8% HP,,"We are looking for an enthusiastic person to join the OMS LTD team for the upcoming Fertiliser/Compost season From August through to late November you will towing either a Giltrap 5001 or SAM Machinery Orchard spreader around the Western Bay of Plenty. Working with Lime, Solid Fertiliser and Compost Comprehensive experience driving tractors (We use […]"
138,Asparagus Harvest & Packhouse Team Needed,451,My Farm Fresh,"Ashburton, New Zealand",2022-09-05,Vegetables,Expressions of Interest,10,2022-10-03,2022-12-03,23.65,Bucket/bin rate bonuses,"Asparagus Harvest & Packhouse Team Needed We are a family-owned Asparagus business, located on Ashburtons town boundary. We are looking for fit, energetic and reliable people to join us. Our season runs from the start of October- early December 2022. Positions we have available are: 📣 Asparagus Havesters (Pickers) – We have new harvest buggies […]"
139,Summer Orchard Workers,400,Bay Kiwifruit Contracting,"Te Puke, New Zealand",2022-09-05,Kiwifruit,Need Staff Soon,20,2022-10-10,2022-12-20,$22.10 per hour,,"Required early October. Do you want to work for a compliant, trustworthy and professional company? We pride ourselves on providing quality people to our kiwifruit orchardist clients. Ongoing full time roles for suitable candidates. Come work for a reputable company and learn about the kiwifruit industry! Work includes bud thinning & tipping. Must have own […]"
140,Seasonal Cherry Pickers,525,Sarita Orchard ltd,"Cromwell, New Zealand",2022-09-05,Stonefruit (including Cherries),Expressions of Interest,60,2022-12-09,2023-01-30,$21.20,"Accommodation, Transport, Bucket/bin rate bonuses, End of season bonuses, Free Wifi","Sarita Orchard has been in the Central Otago cherry industry for over 25 years. We are seeking motivated and enthusiastic individuals to join our pack house team for the 2022-23 cherry export season. We have continuous work available from early December until the end of the cherry export season in late January, but there are […]"
141,Seasonal Packhouse Staff,221,Sarita Orchard ltd,"Cromwell, New Zealand",2022-09-05,Stonefruit (including Cherries),Expressions of Interest,30,2022-12-09,2023-01-30,$21.20,"Accommodation, Transport, End of season bonuses, Free Wifi","Sarita Orchard has been in the Central Otago cherry industry for over 25 years. We are seeking motivated and enthusiastic individuals to join our pack house team for the 2022-23 cherry export season. We have continuous work available from early December until the end of the cherry export season in late January, but there are […]"
142,Irrigation maintenance - Hop Farm,231,Nelson Hops NZ Limited,"65 Korere, Tapawera, New Zealand",2022-09-05,Other,Need Staff Now,3,2022-09-12,2022-09-26,$24 inc HP,"Accommodation, Transport, Free Wifi",We have several positions available for motivated physically fit individuals to join our farms for irrigation maintenance. Full training provided. Days – 5/6 days a week Duration – 3-4  weeks Start date –  ASAP Future work available on farm after the irrigation work is complete. Accommodation – we have fully self-contained cabins or van sites with shared […]
143,Seasonal Orchard - Bird Control,191,Suncrest Orchard,"Cromwell, New Zealand",2022-09-05,Stonefruit (including Cherries),Expressions of Interest,3,2022-11-07,2023-01-29,$24.00,"Accommodation, End of season bonuses, Free Wifi",Suncrest Orchard is a key player in the Central Otago cherry industry and we have been exporting premium cherries for over 20 years. We are seeking motivated and enthusiastic individuals to join our bird control team for the 2022-23 cherry export season. The positions will start from early November/early December and go through until the […]
